#{"t_start": 1710451531.465772, "env_id": "CartPole-v1"}
r,l,t
47.0,47,3.004652
11.0,11,3.033275
27.0,27,3.249836
30.0,30,3.468709
25.0,25,3.652764
26.0,26,3.848842
22.0,22,3.890274
26.0,26,4.128252
63.0,63,4.577018
116.0,116,5.46407
127.0,127,6.330819
151.0,151,7.279132
158.0,158,8.390349
125.0,125,9.24536
195.0,195,10.566295
149.0,149,11.71305
122.0,122,12.7109
134.0,134,13.628713
250.0,250,15.477183
111.0,111,16.203052
306.0,306,18.47697
191.0,191,19.877515
191.0,191,21.321775
377.0,377,24.139754
500.0,500,34.587963
500.0,500,38.155985
500.0,500,41.642287
500.0,500,45.258549
500.0,500,48.866616
500.0,500,52.231017
500.0,500,63.052672
500.0,500,66.572669
500.0,500,70.006753
500.0,500,73.600202
500.0,500,77.085101
500.0,500,80.711967
500.0,500,91.399584
500.0,500,94.740193
500.0,500,98.427566
500.0,500,102.00298
500.0,500,105.602638
500.0,500,109.312929
500.0,500,112.904773
500.0,500,123.945356
500.0,500,127.487688
500.0,500,130.943578
500.0,500,134.628179
500.0,500,138.38326
500.0,500,141.852322
500.0,500,152.602286
500.0,500,156.171269
500.0,500,159.832461
500.0,500,163.486774
500.0,500,166.956505
500.0,500,170.669454
