#{"t_start": 1710451531.4664347, "env_id": "CartPole-v1"}
r,l,t
35.0,35,2.974598
34.0,34,3.196191
27.0,27,3.260774
17.0,17,3.449247
38.0,38,3.680261
59.0,59,4.10695
50.0,50,4.525617
43.0,43,4.824896
38.0,38,5.051673
153.0,153,6.150933
141.0,141,7.036479
173.0,173,8.350881
129.0,129,9.193171
142.0,142,10.110186
181.0,181,11.431378
128.0,128,12.468807
112.0,112,13.215879
227.0,227,14.832429
120.0,120,15.719103
158.0,158,16.897696
140.0,140,17.986397
151.0,151,18.929942
221.0,221,20.658556
92.0,92,21.327461
132.0,132,22.270266
323.0,323,24.631128
500.0,500,35.249237
500.0,500,38.698689
500.0,500,42.269816
500.0,500,45.930941
500.0,500,49.378541
500.0,500,52.851686
500.0,500,63.68504
500.0,500,67.081449
500.0,500,70.658365
500.0,500,74.090285
500.0,500,77.757801
500.0,500,81.316558
500.0,500,91.893866
500.0,500,95.37788
500.0,500,99.096489
500.0,500,102.498676
500.0,500,106.280443
500.0,500,109.810952
500.0,500,120.991365
500.0,500,124.571711
500.0,500,127.970332
500.0,500,131.600394
500.0,500,135.312611
500.0,500,138.911701
500.0,500,142.572402
500.0,500,153.095412
500.0,500,156.796952
500.0,500,160.479968
500.0,500,163.995951
500.0,500,167.643639
500.0,500,171.356076
