#{"t_start": 1710451531.463084, "env_id": "CartPole-v1"}
r,l,t
30.0,30,2.817045
70.0,70,3.421716
25.0,25,3.482449
51.0,51,3.879546
33.0,33,4.108865
86.0,86,4.802319
32.0,32,5.024516
21.0,21,5.080884
93.0,93,5.720553
160.0,160,6.811773
150.0,150,7.901274
208.0,208,9.253393
193.0,193,10.589206
188.0,188,11.998274
107.0,107,12.943413
146.0,146,13.8507
131.0,131,14.814992
153.0,153,15.977841
118.0,118,16.87309
125.0,125,17.773916
142.0,142,18.711509
231.0,231,20.421871
196.0,196,22.014464
171.0,171,23.167756
500.0,500,33.645526
500.0,500,37.23201
500.0,500,40.913935
500.0,500,44.403887
500.0,500,47.988152
500.0,500,51.550071
500.0,500,62.070297
500.0,500,65.745752
500.0,500,69.178901
500.0,500,72.706753
500.0,500,76.345549
500.0,500,79.840013
500.0,500,83.333044
500.0,500,94.068043
500.0,500,97.54132
500.0,500,101.108116
500.0,500,104.64414
500.0,500,108.453213
500.0,500,112.175479
500.0,500,123.064382
500.0,500,126.635192
500.0,500,130.205622
500.0,500,133.79297
500.0,500,137.445023
500.0,500,140.993379
500.0,500,151.740931
500.0,500,155.379971
500.0,500,158.927681
500.0,500,162.625831
500.0,500,166.22597
500.0,500,169.722847
