#{"t_start": 1710451531.4623778, "env_id": "CartPole-v1"}
r,l,t
24.0,24,2.802847
16.0,16,3.000303
17.0,17,3.035434
10.0,10,3.197539
57.0,57,3.481996
52.0,52,3.880146
155.0,155,5.039618
23.0,23,5.239162
159.0,159,6.326549
21.0,21,6.36494
147.0,147,7.453257
145.0,145,8.390391
221.0,221,9.909679
259.0,259,11.725144
108.0,108,12.691504
116.0,116,13.435868
134.0,134,14.366469
132.0,132,15.472066
70.0,70,15.923723
138.0,138,16.900537
156.0,156,18.022589
173.0,173,19.189012
169.0,169,20.613706
156.0,156,21.772928
125.0,125,22.580362
399.0,399,32.500835
500.0,500,36.096317
500.0,500,39.575133
500.0,500,43.214053
500.0,500,46.63897
500.0,500,50.225178
500.0,500,53.755071
500.0,500,64.430826
500.0,500,67.995036
500.0,500,71.562905
500.0,500,74.985972
500.0,500,78.62589
500.0,500,82.014116
500.0,500,92.740903
500.0,500,96.298271
500.0,500,99.799405
500.0,500,103.441464
500.0,500,107.200934
500.0,500,110.754028
500.0,500,121.886148
500.0,500,125.267895
500.0,500,128.909743
500.0,500,132.531676
500.0,500,136.136355
500.0,500,139.788209
500.0,500,150.530193
500.0,500,153.998864
500.0,500,157.741868
500.0,500,161.208623
500.0,500,164.864859
500.0,500,168.534989
500.0,500,172.11209
