#{"t_start": 1710451531.4615831, "env_id": "CartPole-v1"}
r,l,t
61.0,61,3.040608
68.0,68,3.644903
15.0,15,3.661119
15.0,15,3.693919
78.0,78,4.324308
81.0,81,4.861464
47.0,47,5.268098
126.0,126,6.135634
47.0,47,6.369992
150.0,150,7.477648
185.0,185,8.802634
232.0,232,10.32294
222.0,222,11.953322
54.0,54,12.460296
60.0,60,12.9269
134.0,134,13.817388
132.0,132,14.782987
132.0,132,15.698755
150.0,150,16.868248
129.0,129,17.773107
158.0,158,18.880981
184.0,184,20.135889
112.0,112,21.099312
116.0,116,21.847834
147.0,147,22.980124
500.0,500,33.587957
500.0,500,37.03812
500.0,500,40.689862
500.0,500,44.362772
500.0,500,47.759602
500.0,500,51.335818
500.0,500,61.861153
500.0,500,65.534281
500.0,500,69.121261
500.0,500,72.530092
500.0,500,76.119338
500.0,500,79.766503
500.0,500,83.121257
500.0,500,93.877972
500.0,500,97.329684
500.0,500,100.914468
500.0,500,104.562791
500.0,500,108.256341
500.0,500,111.971747
500.0,500,123.004716
500.0,500,126.396786
500.0,500,130.007559
500.0,500,133.55782
500.0,500,137.243764
500.0,500,140.934656
500.0,500,151.52874
500.0,500,155.164428
500.0,500,158.884942
500.0,500,162.432933
500.0,500,166.011246
500.0,500,169.500456
