#{"t_start": 1710451531.4637642, "env_id": "CartPole-v1"}
r,l,t
20.0,20,2.786662
34.0,34,3.030849
18.0,18,3.218642
57.0,57,3.642867
35.0,35,3.848125
65.0,65,4.295926
239.0,239,5.920841
154.0,154,7.016483
162.0,162,8.124024
177.0,177,9.39019
215.0,215,10.790943
135.0,135,11.746603
129.0,129,12.752377
139.0,139,13.819603
152.0,152,14.994189
149.0,149,15.980473
119.0,119,16.87697
161.0,161,18.021315
132.0,132,18.927995
201.0,201,20.421293
121.0,121,21.35229
213.0,213,22.969914
500.0,500,33.425871
500.0,500,37.011283
500.0,500,40.660961
500.0,500,44.181213
500.0,500,47.730077
500.0,500,51.30745
500.0,500,61.8503
500.0,500,65.506677
500.0,500,68.908961
500.0,500,72.499886
500.0,500,76.096766
500.0,500,79.58447
500.0,500,83.109857
500.0,500,93.85051
500.0,500,97.302228
500.0,500,100.903725
500.0,500,104.410324
500.0,500,108.228387
500.0,500,111.960723
500.0,500,122.830189
500.0,500,126.38601
500.0,500,129.996638
500.0,500,133.544588
500.0,500,137.215887
500.0,500,140.743692
500.0,500,151.495984
500.0,500,155.1533
500.0,500,158.701768
500.0,500,162.40533
500.0,500,165.978611
500.0,500,169.469182
