#{"t_start": 1710450938.8174868, "env_id": "CartPole-v1"}
r,l,t
22.0,22,2.781659
11.0,11,2.951924
46.0,46,3.253358
29.0,29,3.517583
29.0,29,3.745044
37.0,37,3.97585
17.0,17,4.032486
20.0,20,4.261337
61.0,61,4.709179
215.0,215,6.290201
104.0,104,7.071692
125.0,125,8.025069
119.0,119,8.958736
117.0,117,9.734559
109.0,109,10.66825
100.0,100,11.453257
96.0,96,12.113818
105.0,105,12.822971
95.0,95,13.542753
109.0,109,14.257236
115.0,115,15.208108
138.0,138,16.182631
139.0,139,17.340251
197.0,197,18.889403
170.0,170,20.055379
151.0,151,21.252045
179.0,179,22.515158
301.0,301,24.734357
500.0,500,35.97034
500.0,500,39.852828
500.0,500,43.491771
500.0,500,47.163134
500.0,500,50.817694
500.0,500,54.643742
500.0,500,66.037528
500.0,500,69.887404
500.0,500,73.476164
500.0,500,77.178167
500.0,500,81.052541
500.0,500,84.678964
500.0,500,96.313006
500.0,500,100.195796
500.0,500,103.864865
500.0,500,107.556457
500.0,500,111.208087
500.0,500,115.055113
500.0,500,118.773672
500.0,500,130.509505
500.0,500,134.272193
500.0,500,138.132942
500.0,500,141.732608
500.0,500,145.439543
500.0,500,149.057195
500.0,500,160.664812
500.0,500,164.437708
500.0,500,167.944489
500.0,500,171.749199
500.0,500,175.600813
500.0,500,179.296603
