#{"t_start": 1710450938.8140624, "env_id": "CartPole-v1"}
r,l,t
17.0,17,2.779296
14.0,14,2.811406
12.0,12,2.984291
11.0,11,3.012718
37.0,37,3.288244
24.0,24,3.546002
29.0,29,3.774256
19.0,19,3.947837
61.0,61,4.298336
18.0,18,4.487309
41.0,41,4.724136
28.0,28,4.971462
34.0,34,5.203485
124.0,124,6.098545
128.0,128,7.083332
133.0,133,8.065113
118.0,118,8.995611
134.0,134,9.985637
107.0,107,10.921147
61.0,61,11.234397
112.0,112,12.127726
107.0,107,12.850866
105.0,105,13.736414
118.0,118,14.521521
126.0,126,15.453916
122.0,122,16.404176
138.0,138,17.396184
237.0,237,19.343198
204.0,204,20.809714
150.0,150,21.95505
172.0,172,23.217138
229.0,229,24.789402
500.0,500,36.179592
500.0,500,40.080168
500.0,500,43.529115
500.0,500,47.380404
500.0,500,50.852443
500.0,500,54.683063
500.0,500,66.259079
500.0,500,69.942019
500.0,500,73.701828
500.0,500,77.37787
500.0,500,81.086875
500.0,500,84.858531
500.0,500,96.364675
500.0,500,100.214574
500.0,500,104.089664
500.0,500,107.590947
500.0,500,111.380425
500.0,500,115.270254
500.0,500,118.792307
500.0,500,130.708311
500.0,500,134.307181
500.0,500,138.1688
500.0,500,141.909981
500.0,500,145.474542
500.0,500,149.27655
500.0,500,160.896152
500.0,500,164.457615
500.0,500,168.148588
500.0,500,171.801967
500.0,500,175.637837
500.0,500,179.48182
