#{"t_start": 1710450938.8147538, "env_id": "CartPole-v1"}
r,l,t
37.0,37,2.976779
25.0,25,3.038454
21.0,21,3.261278
48.0,48,3.741043
16.0,16,3.776919
30.0,30,4.000989
14.0,14,4.035088
34.0,34,4.434718
29.0,29,4.517063
48.0,48,4.944862
42.0,42,5.201624
130.0,130,6.103209
118.0,118,7.076721
103.0,103,7.831739
27.0,27,8.05312
150.0,150,9.225558
112.0,112,9.987192
110.0,110,10.929149
115.0,115,11.691997
110.0,110,12.585194
104.0,104,13.293383
108.0,108,14.02204
100.0,100,14.781086
107.0,107,15.670805
112.0,112,16.433791
168.0,168,17.85026
173.0,173,19.14368
137.0,137,20.061368
287.0,287,22.247603
191.0,191,23.645283
260.0,260,25.51013
500.0,500,36.945893
500.0,500,40.769055
500.0,500,44.254034
500.0,500,48.034756
500.0,500,51.574888
500.0,500,55.440038
500.0,500,67.013199
500.0,500,70.635571
500.0,500,74.379479
500.0,500,78.125443
500.0,500,81.799294
500.0,500,85.613041
500.0,500,97.063335
500.0,500,100.947077
500.0,500,104.774574
500.0,500,108.285441
500.0,500,112.127334
500.0,500,116.007237
500.0,500,127.642186
500.0,500,131.448148
500.0,500,135.107285
500.0,500,138.947775
500.0,500,142.64065
500.0,500,146.183276
500.0,500,149.952501
500.0,500,161.606709
500.0,500,165.192273
500.0,500,168.857138
500.0,500,172.558909
500.0,500,176.390826
500.0,500,180.213497
