#{"t_start": 1710450938.8154562, "env_id": "CartPole-v1"}
r,l,t
13.0,13,2.756313
19.0,19,2.811204
24.0,24,3.013559
14.0,14,3.227518
11.0,11,3.258029
79.0,79,3.806266
34.0,34,4.228233
30.0,30,4.297086
23.0,23,4.491456
78.0,78,5.159211
118.0,118,5.873072
141.0,141,7.04711
114.0,114,7.851148
110.0,110,8.743194
122.0,122,9.695813
111.0,111,10.413791
116.0,116,11.450405
109.0,109,12.148205
46.0,46,12.393461
100.0,100,13.263863
102.0,102,13.969849
108.0,108,14.770733
119.0,119,15.673591
152.0,152,16.880316
175.0,175,18.114671
130.0,130,19.168303
137.0,137,20.08751
152.0,152,21.272023
141.0,141,22.452679
157.0,157,23.586271
500.0,500,34.73729
500.0,500,38.605103
500.0,500,42.173388
500.0,500,45.895139
500.0,500,49.638966
500.0,500,53.216358
500.0,500,64.821703
500.0,500,68.71662
500.0,500,72.228258
500.0,500,75.991538
500.0,500,79.641817
500.0,500,83.470024
500.0,500,87.273273
500.0,500,98.759789
500.0,500,102.625506
500.0,500,106.381742
500.0,500,109.929395
500.0,500,113.783955
500.0,500,117.477763
500.0,500,129.303531
500.0,500,133.031336
500.0,500,136.715764
500.0,500,140.56108
500.0,500,144.191005
500.0,500,147.859852
500.0,500,159.43128
500.0,500,163.097931
500.0,500,166.809906
500.0,500,170.526148
500.0,500,174.255237
500.0,500,178.061221
