#{"t_start": 1710450938.8168116, "env_id": "CartPole-v1"}
r,l,t
58.0,58,3.01476
68.0,68,3.572171
22.0,22,3.776058
52.0,52,4.233702
26.0,26,4.434118
43.0,43,4.706463
179.0,179,5.894528
113.0,113,6.817607
111.0,111,7.601515
120.0,120,8.550891
127.0,127,9.505912
107.0,107,10.380804
110.0,110,11.216554
121.0,121,12.114358
105.0,105,12.823538
100.0,100,13.548836
115.0,115,14.48499
109.0,109,15.231242
141.0,141,16.349902
150.0,150,17.378625
500.0,500,21.254547
217.0,217,22.933276
231.0,231,24.532435
500.0,500,35.893461
500.0,500,39.593087
500.0,500,43.245719
500.0,500,46.895496
500.0,500,50.596204
500.0,500,54.373045
500.0,500,65.787177
500.0,500,69.654969
500.0,500,73.400134
500.0,500,76.937619
500.0,500,80.793079
500.0,500,84.426136
500.0,500,96.108039
500.0,500,99.947835
500.0,500,103.638089
500.0,500,107.343037
500.0,500,111.121884
500.0,500,114.812063
500.0,500,118.505988
500.0,500,130.279629
500.0,500,134.012448
500.0,500,137.889744
500.0,500,141.530574
500.0,500,145.169848
500.0,500,149.006676
500.0,500,160.424651
500.0,500,164.187975
500.0,500,167.757356
500.0,500,171.536057
500.0,500,175.347778
500.0,500,179.06806
