#{"t_start": 1710450353.0462112, "env_id": "CartPole-v1"}
r,l,t
24.0,24,2.880797
26.0,26,3.109632
19.0,19,3.309617
33.0,33,3.558936
46.0,46,3.825256
34.0,34,4.060161
13.0,13,4.273115
23.0,23,4.346204
28.0,28,4.596513
30.0,30,4.840109
24.0,24,5.041131
25.0,25,5.26317
26.0,26,5.327605
46.0,46,5.755547
120.0,120,6.697469
158.0,158,7.892084
500.0,500,11.458892
490.0,490,15.111632
500.0,500,18.731573
304.0,304,21.059565
188.0,188,22.459653
166.0,166,23.620992
127.0,127,24.627066
127.0,127,25.568875
194.0,194,31.468673
160.0,160,32.730874
181.0,181,33.902162
500.0,500,37.731089
500.0,500,41.514663
500.0,500,45.204902
500.0,500,48.931447
500.0,500,52.527887
500.0,500,64.102949
500.0,500,67.821768
500.0,500,71.508394
500.0,500,75.265324
500.0,500,79.093745
500.0,500,82.871612
500.0,500,94.336796
500.0,500,97.978593
500.0,500,101.818269
500.0,500,105.623025
500.0,500,109.184347
500.0,500,112.833149
500.0,500,124.602146
500.0,500,128.12658
500.0,500,132.101951
500.0,500,135.815037
500.0,500,139.482394
500.0,500,143.160094
500.0,500,146.776373
500.0,500,158.0341
500.0,500,161.954118
500.0,500,165.663753
500.0,500,169.453298
500.0,500,173.004853
500.0,500,176.787911
