#{"t_start": 1710450353.0476532, "env_id": "CartPole-v1"}
r,l,t
14.0,14,2.850875
19.0,19,3.07305
33.0,33,3.304624
15.0,15,3.338757
31.0,31,3.568248
15.0,15,3.618575
17.0,17,3.802238
23.0,23,4.024662
13.0,13,4.056504
10.0,10,4.084125
23.0,23,4.337568
46.0,46,4.783037
31.0,31,5.028612
22.0,22,5.052993
19.0,19,5.27831
42.0,42,5.530524
14.0,14,5.722692
41.0,41,5.988222
221.0,221,7.639169
256.0,256,9.543916
257.0,257,11.42608
254.0,254,13.280728
311.0,311,15.415792
316.0,316,17.793906
160.0,160,18.980406
444.0,444,22.290038
153.0,153,23.407569
140.0,140,24.428081
130.0,130,25.411614
166.0,166,31.201556
147.0,147,32.25857
237.0,237,34.098659
179.0,179,35.355965
196.0,196,36.773812
500.0,500,40.570484
500.0,500,44.442232
500.0,500,48.023836
500.0,500,51.753897
500.0,500,63.119748
500.0,500,66.899459
500.0,500,70.614097
500.0,500,74.343668
500.0,500,78.038785
500.0,500,82.129829
500.0,500,93.400526
500.0,500,97.172073
500.0,500,100.888474
500.0,500,104.688434
500.0,500,108.434402
500.0,500,111.904729
500.0,500,115.623684
500.0,500,127.3919
500.0,500,131.122476
500.0,500,135.06863
500.0,500,138.559729
500.0,500,142.225058
500.0,500,146.019984
500.0,500,157.13572
500.0,500,160.970465
500.0,500,164.905255
500.0,500,168.549908
500.0,500,172.262651
500.0,500,175.882368
