#{"t_start": 1710450353.0438838, "env_id": "CartPole-v1"}
r,l,t
13.0,13,2.853165
26.0,26,3.083401
14.0,14,3.11546
14.0,14,3.309592
51.0,51,3.594978
30.0,30,3.827412
54.0,54,4.28872
52.0,52,4.623741
25.0,25,4.84594
34.0,34,5.074136
32.0,32,5.304224
43.0,43,5.728062
64.0,64,6.216869
47.0,47,6.518878
111.0,111,7.389074
304.0,304,9.561968
448.0,448,12.852642
367.0,367,15.582103
362.0,362,18.262119
167.0,167,19.413451
440.0,440,22.671122
167.0,167,23.924264
172.0,172,25.131301
116.0,116,30.510442
151.0,151,31.726642
240.0,240,33.455137
273.0,273,35.561911
321.0,321,37.929175
500.0,500,41.566484
500.0,500,45.393745
500.0,500,49.163603
500.0,500,52.731827
500.0,500,64.332241
500.0,500,68.041805
500.0,500,71.744028
500.0,500,75.484766
500.0,500,79.157519
500.0,500,83.122611
500.0,500,94.554442
500.0,500,98.187534
500.0,500,102.072109
500.0,500,105.811883
500.0,500,109.402016
500.0,500,113.020643
500.0,500,124.667421
500.0,500,128.398622
500.0,500,132.377464
500.0,500,136.022062
500.0,500,139.719031
500.0,500,143.384145
500.0,500,154.622087
500.0,500,158.277099
500.0,500,162.018413
500.0,500,165.897798
500.0,500,169.727199
500.0,500,173.258034
500.0,500,177.022997
