#{"t_start": 1710450353.0454884, "env_id": "CartPole-v1"}
r,l,t
19.0,19,2.858496
14.0,14,3.075076
18.0,18,3.111518
29.0,29,3.339702
16.0,16,3.391601
17.0,17,3.571538
23.0,23,3.795858
36.0,36,4.032395
82.0,82,4.622245
11.0,11,4.810146
22.0,22,4.869318
60.0,60,5.305679
27.0,27,5.534062
84.0,84,6.22228
199.0,199,7.652943
379.0,379,10.48449
293.0,293,12.611231
429.0,429,15.662758
262.0,262,17.75333
223.0,223,19.379318
305.0,305,21.554314
189.0,189,22.941008
162.0,162,24.193707
170.0,170,25.404028
155.0,155,30.984327
176.0,176,32.47823
149.0,149,33.459017
493.0,493,37.230664
500.0,500,40.850709
500.0,500,44.702491
500.0,500,48.443428
500.0,500,52.014348
500.0,500,63.579902
500.0,500,67.312824
500.0,500,70.897935
500.0,500,74.762308
500.0,500,78.342974
500.0,500,82.400568
500.0,500,93.830853
500.0,500,97.461808
500.0,500,101.335611
500.0,500,105.138703
500.0,500,108.713859
500.0,500,112.355547
500.0,500,123.963404
500.0,500,127.658397
500.0,500,131.549901
500.0,500,135.313446
500.0,500,138.988109
500.0,500,142.671856
500.0,500,146.321113
500.0,500,157.549886
500.0,500,161.2378
500.0,500,165.188517
500.0,500,168.97069
500.0,500,172.544008
500.0,500,176.298159
