#{"t_start": 1710454730.432053, "env_id": "LunarLander-v2"}
r,l,t
-209.332949,79,0.100901
-201.096574,64,0.167854
-200.100981,135,0.268678
-198.608942,157,0.384046
-116.040798,76,0.450011
-154.419084,70,1.057268
-220.929108,108,1.142392
-95.918672,120,1.236846
-281.121342,113,1.324663
-87.531104,68,1.375215
-121.679132,83,1.955192
-112.744852,97,2.037179
-101.63187,78,2.093995
-459.177796,132,2.199432
-328.596928,96,2.271402
-29.696851,133,2.837857
-202.089167,91,2.903792
-162.227323,140,3.006386
-113.766466,97,3.086252
-89.550162,103,3.175933
-81.098126,114,3.714292
-169.871037,75,3.773013
-76.004018,92,3.838554
-170.9274,103,3.917718
-91.189075,77,3.988051
-172.586739,85,4.568574
-125.340225,139,4.684327
-130.196991,94,4.756666
-136.089996,77,4.81763
-104.763031,82,4.885479
-92.827092,74,4.946958
-54.658708,83,5.546029
-119.557876,92,5.615189
-102.554032,74,5.67973
-93.196945,87,5.745348
-126.373073,70,5.796456
-53.31399,65,5.848586
-75.22346,64,6.330812
-81.57804,75,6.391264
-68.126984,80,6.457777
-97.953281,68,6.523081
-71.384087,77,6.582389
-110.573034,76,6.639725
-53.313069,74,6.694005
-108.716782,57,6.738401
-145.252554,111,7.281338
-271.020704,118,7.374287
-93.001428,89,7.44017
-95.771745,89,7.528408
-46.1421,75,7.593096
-67.449935,80,8.13787
-85.496483,74,8.197891
-90.411626,86,8.260703
-218.73143,111,8.351701
-81.04905,117,8.445214
-47.890126,73,8.506156
-71.362268,99,9.147993
-80.478555,89,9.217643
-94.763634,87,9.278891
-254.559243,128,9.380781
-45.096164,73,9.440083
-114.65712,88,10.024451
-111.811609,80,10.084873
-79.197886,114,10.17857
-118.693972,85,10.245081
-123.020633,108,10.330776
-93.386375,87,10.85864
-71.70493,115,10.961886
-69.024856,77,11.017819
-52.994467,118,11.105957
-108.375213,108,11.195318
-92.329075,110,11.752792
-25.510364,119,11.858544
-45.81759,69,11.91865
-140.321565,112,12.005148
-64.156518,80,12.062824
-73.366484,78,12.136209
-54.275001,68,12.74148
-55.385935,104,12.821732
-87.622432,79,12.880431
-37.947041,72,12.935277
35.596093,142,13.044829
-71.789328,67,13.09628
-70.926625,133,13.707016
-102.877416,94,13.783678
-27.323666,125,13.881396
-104.351127,71,13.939432
-104.191403,126,14.594484
-87.151166,89,14.669131
-53.46039,89,14.74054
-18.505682,74,14.820766
-24.707264,94,14.897434
-111.8204,100,14.984532
-97.429836,115,15.674291
-77.637205,90,15.758092
-53.227639,78,15.825874
-181.546686,127,15.930033
-42.710409,73,15.987462
-82.760831,71,16.613368
-82.463283,96,16.699219
-42.359448,80,16.768133
-99.622615,100,16.844531
-133.18116,139,16.971694
-86.388339,82,17.049521
-72.44296,92,17.608332
-31.206653,69,17.663752
-60.794809,80,17.727004
-119.446357,91,17.798709
-82.81572,89,17.866649
-48.383843,98,17.93997
-119.131818,96,18.623162
-37.932822,95,18.701357
-191.352728,141,18.815772
-47.855615,98,18.896171
-24.550648,79,18.95445
-63.481602,95,19.494776
2.490605,78,19.556688
-38.038333,69,19.607003
-73.284026,82,19.67512
-63.545533,99,19.754585
-220.527966,141,20.350058
-18.839346,79,20.40774
-66.991132,85,20.472053
-56.718761,99,20.543759
-8.384479,88,20.608342
-54.455192,103,20.690162
-127.775239,131,21.37027
-113.627859,90,21.45658
-16.685074,94,21.540542
-33.629066,108,21.625545
-31.933845,125,22.242237
-63.817954,84,22.308269
-40.213953,84,22.369801
-73.795708,122,22.925014
16.477292,125,23.018904
-87.697489,97,23.571784
-7.100554,131,23.671579
-10.783849,146,23.789596
-57.841853,115,23.879053
-35.968475,116,24.467356
-7.487678,112,24.557351
6.56527,134,24.66355
-34.31738,97,24.741564
24.314168,131,24.846825
-84.880856,105,25.417259
18.795463,103,25.500482
21.40545,94,25.576081
0.710461,83,25.648277
-160.918894,130,25.773927
5.078976,82,26.315119
-9.372453,125,26.412535
-8.282408,138,26.523145
-48.916428,104,26.598179
-66.92631,82,27.227841
18.485952,141,27.356076
33.750939,126,27.480803
-166.987482,140,27.596738
-37.893169,105,28.243186
-19.509711,107,28.32847
-15.212679,128,28.427316
0.857602,84,28.49693
1.818068,143,28.623357
-35.37331,110,29.223844
5.345583,150,29.344719
-41.853339,141,29.463528
36.509678,1000,31.321914
-23.693789,150,31.456081
-64.807843,261,32.204895
-174.854652,294,33.055201
-22.223801,145,33.172732
32.242817,241,33.388878
15.096243,149,34.022788
-181.063679,331,34.307784
55.016098,1000,36.514347
17.740039,140,36.62936
-15.960377,171,37.297162
22.15502,112,37.392544
260.779735,278,38.151071
10.220402,103,38.233641
20.908287,145,38.35815
10.85357,160,38.495619
220.055261,532,39.491996
230.745661,444,40.379616
16.18214,149,41.050724
248.222425,683,42.099798
-2.237844,198,42.26288
-63.487009,120,42.360722
24.071106,112,42.986765
106.473002,1000,44.852883
18.629674,149,44.983188
-28.179556,121,45.073712
-28.079827,205,45.811876
-17.479411,185,45.957997
237.202132,590,48.870105
-24.373309,213,49.495241
-12.906625,173,49.632851
-124.085825,113,49.719034
3.733293,120,49.828392
99.924948,1000,51.670409
-17.8373,138,52.257967
-12.404344,121,52.354689
24.776959,219,52.56158
7.136362,124,52.658394
-6.339511,119,53.186691
20.621671,154,53.323915
111.176096,1000,55.195586
15.965775,124,55.294548
151.472835,1000,57.176035
16.251079,142,57.288984
41.027374,158,58.113049
26.308694,160,58.251412
-19.407851,139,58.364911
-60.781267,141,59.038343
-3.50974,148,59.184205
184.654677,1000,61.346397
-31.974441,140,61.458797
6.01556,154,61.580957
24.131018,123,62.265534
7.154254,119,62.367996
31.892407,137,62.478493
2.480704,146,62.602041
119.32704,1000,64.727512
-62.658284,233,65.523598
-7.993793,140,65.632114
100.270387,1000,67.680598
-95.363341,159,67.814218
13.965417,167,68.424759
136.779673,1000,70.262015
-89.719134,165,70.401443
-102.894193,118,70.496294
110.482152,1000,72.974207
88.2339,1000,74.973236
-138.262906,125,75.077022
-72.875421,124,75.682165
4.144912,136,75.789721
-50.168124,149,75.905348
-334.010497,109,75.992658
2.708892,226,76.714236
178.996615,292,76.933835
134.270326,1000,78.743278
-57.060528,389,79.579046
-254.783532,627,80.561484
126.911366,1000,82.468863
-19.975132,160,83.1086
4.150793,306,83.350102
121.817347,1000,85.16602
148.315116,1000,87.097219
254.245203,251,87.821008
167.302299,1000,89.685625
-39.202934,122,89.798103
-94.419796,116,89.890924
211.780038,228,90.081372
24.583521,165,90.80383
229.036407,292,91.042379
184.5095,422,91.877867
-21.853409,168,92.023354
-27.439378,123,92.604575
-43.106905,131,92.711706
-30.543621,1000,94.5945
-32.666772,128,94.694931
-3.905005,154,94.827386
36.148089,146,95.414725
127.65022,1000,98.037418
32.691517,180,98.192591
28.8767,131,98.305396
6.439563,134,98.91591
109.762758,1000,100.784734
140.057477,1000,102.198415
165.383701,1000,104.059617
242.089982,344,104.886122
141.863954,1000,106.67039
38.249115,132,106.770801
13.617322,122,107.487173
-19.050921,108,107.579184
5.744375,110,107.666865
283.323127,288,108.55767
146.505685,1000,110.031246
266.548153,235,110.830899
37.957073,138,110.937988
258.763316,366,111.914498
249.663678,288,112.176816
18.705853,134,112.892248
9.845117,190,113.038157
-5.673327,134,113.150449
242.724566,230,124.188675
274.222895,305,124.473917
276.852872,370,136.456396
266.334766,244,143.306624
237.426266,196,143.492653
50.21523,139,143.620891
3.961604,144,153.17491
243.018813,337,153.526657
277.898416,370,163.889042
203.920459,383,173.304681
23.395786,131,173.426064
251.646734,669,183.878338
259.446484,269,195.039741
263.437618,258,195.277097
8.393142,119,205.773154
21.214864,150,205.906285
-8.141495,116,206.003254
289.482869,291,216.589845
261.968019,250,216.842491
255.106094,299,226.642145
246.17513,295,226.948116
-8.948725,151,239.319134
23.528567,186,239.470393
11.348019,142,239.596476
40.965304,142,239.735573
248.542341,191,249.879164
-57.652845,394,255.017339
297.838365,313,255.274813
-18.040647,128,255.400219
26.505795,138,265.576348
-8.699799,155,265.70874
148.545323,441,277.680253
249.617827,258,277.92294
224.244441,346,291.259567
24.268317,140,291.379742
56.314758,148,296.98901
267.492235,443,306.024613
286.804323,387,306.399803
253.162073,248,316.82371
280.178366,280,317.074099
276.430805,242,328.68022
124.14273,1000,347.622825
-109.918679,115,347.743858
224.840971,234,347.945744
5.157408,161,360.707794
267.092723,441,385.080783
110.995708,1000,471.431919
7.365634,196,471.647572
240.96446,300,518.318418
-36.59917,125,518.449524
27.948891,150,518.667745
194.202494,285,561.361726
260.792028,306,561.641105
275.01122,314,606.431464
245.47117,224,606.679086
252.693723,300,644.200961
196.093924,335,644.616385
137.251491,1000,736.029735
275.54185,246,785.852193
-33.616226,1000,863.651261
36.117915,160,863.796244
246.530788,224,900.076752
264.533555,344,900.451647
32.477465,163,943.829775
249.831461,228,944.061648
-98.277931,355,989.044893
232.826307,315,989.35373
274.684638,308,1028.954577
291.57251,230,1029.267336
246.928021,321,1074.950283
19.463537,165,1075.10017
255.729825,209,1118.34944
247.974151,254,1118.572803
282.211555,243,1162.150041
235.327502,539,1205.65432
286.010449,261,1205.946506
-158.990422,343,1250.137905
49.297002,169,1250.292199
272.483523,264,1287.906179
127.683852,1000,1370.743528
3.311033,141,1370.892906
285.731503,338,1415.167015
154.704064,1000,1491.377714
247.856231,370,1491.911752
-16.550893,104,1534.145686
165.201956,1000,1617.544079
239.414985,211,1617.800148
17.491879,148,1617.930803
190.774222,246,1662.400603
-13.766087,111,1662.50569
73.792386,1000,1744.46497
-0.016471,219,1744.700999
145.779349,1000,1824.289249
282.433632,244,1867.959229
217.190039,844,1909.79418
73.37052,1000,1997.557314
234.89281,525,2043.952792
287.468046,276,2079.774804
-31.85735,1000,2172.426197
298.429011,220,2172.633719
255.864664,206,2223.3568
281.501877,216,2223.547196
104.966928,1000,2306.16335
-40.667902,1000,2395.091446
170.700018,1000,2486.593297
-22.641719,109,2486.698055
137.242972,1000,2567.591808
133.392876,1000,2651.680227
228.647609,520,2697.11457
149.886868,1000,2786.504331
15.558577,133,2786.622618
