#{"t_start": 1710451332.2097104, "env_id": "CartPole-v1"}
r,l,t
17.0,17,2.850238
34.0,34,3.094714
51.0,51,3.484379
29.0,29,3.740888
14.0,14,3.791613
18.0,18,3.970854
22.0,22,4.030738
15.0,15,4.242358
24.0,24,4.292784
22.0,22,4.528968
43.0,43,4.978278
64.0,64,5.443883
60.0,60,5.776972
47.0,47,6.207068
27.0,27,6.431957
125.0,125,7.34816
108.0,108,8.05824
142.0,142,9.040792
134.0,134,10.227325
119.0,119,10.966532
129.0,129,11.960234
134.0,134,13.130646
135.0,135,14.116525
169.0,169,15.419747
174.0,174,16.693831
184.0,184,18.151147
130.0,130,19.19137
157.0,157,20.494902
280.0,280,22.638034
500.0,500,26.32418
500.0,500,37.922177
500.0,500,41.762112
500.0,500,45.488201
500.0,500,49.395077
500.0,500,53.182737
500.0,500,56.977054
500.0,500,68.61845
500.0,500,72.490161
500.0,500,76.153772
500.0,500,80.086176
500.0,500,83.625663
500.0,500,87.340925
500.0,500,99.1852
500.0,500,102.796406
500.0,500,106.491719
500.0,500,110.317758
500.0,500,114.020558
500.0,500,117.802961
500.0,500,129.876455
500.0,500,133.605761
500.0,500,137.38963
500.0,500,140.847689
500.0,500,144.632587
500.0,500,148.336725
500.0,500,151.958949
500.0,500,163.928033
500.0,500,167.524503
500.0,500,171.309929
500.0,500,175.146511
500.0,500,178.744092
500.0,500,182.513576
