#{"t_start": 1710451332.2083452, "env_id": "CartPole-v1"}
r,l,t
19.0,19,2.859154
22.0,22,3.069987
27.0,27,3.274117
12.0,12,3.303771
36.0,36,3.529376
13.0,13,3.739671
13.0,13,3.771397
17.0,17,3.808349
19.0,19,4.005464
28.0,28,4.256982
13.0,13,4.288614
24.0,24,4.526943
30.0,30,4.756876
45.0,45,5.048804
20.0,20,5.273914
72.0,72,5.758468
62.0,62,6.239486
39.0,39,6.478589
68.0,68,7.109006
126.0,126,8.03423
167.0,167,9.249069
66.0,66,9.725693
180.0,180,10.971249
170.0,170,12.410534
140.0,140,13.435309
128.0,128,14.373718
186.0,186,15.889892
242.0,242,17.692338
195.0,195,19.394955
182.0,182,20.705686
229.0,229,22.451764
500.0,500,26.13723
500.0,500,37.85934
500.0,500,41.588048
500.0,500,45.451363
500.0,500,49.357986
500.0,500,52.989297
500.0,500,56.940364
500.0,500,68.408017
500.0,500,72.303786
500.0,500,76.11906
500.0,500,79.89747
500.0,500,83.592428
500.0,500,87.303623
500.0,500,98.945066
500.0,500,102.739633
500.0,500,106.30479
500.0,500,110.138235
500.0,500,113.962634
500.0,500,117.598817
500.0,500,129.824698
500.0,500,133.572185
500.0,500,137.196066
500.0,500,140.797014
500.0,500,144.434207
500.0,500,148.156826
500.0,500,151.921029
500.0,500,163.707899
500.0,500,167.471462
500.0,500,171.252401
500.0,500,174.966768
500.0,500,178.726683
500.0,500,182.325652
