#{"t_start": 1710451332.2113047, "env_id": "CartPole-v1"}
r,l,t
51.0,51,3.093293
15.0,15,3.268853
52.0,52,3.535381
25.0,25,3.784111
20.0,20,3.969327
12.0,12,3.998968
19.0,19,4.223387
16.0,16,4.261247
16.0,16,4.470185
19.0,19,4.526257
15.0,15,4.722494
20.0,20,4.779085
26.0,26,5.032161
49.0,49,5.445327
40.0,40,5.721805
43.0,43,6.007963
41.0,41,6.263164
31.0,31,6.474472
103.0,103,7.359963
189.0,189,8.761891
115.0,115,9.50877
143.0,143,10.665073
142.0,142,11.668503
119.0,119,12.641039
125.0,125,13.656922
185.0,185,14.943485
149.0,149,16.181888
236.0,236,17.938762
174.0,174,19.412401
172.0,172,20.703969
201.0,201,22.386397
201.0,201,23.784651
500.0,500,35.248807
500.0,500,39.125867
500.0,500,43.019045
500.0,500,46.703895
500.0,500,50.537858
500.0,500,54.451674
500.0,500,66.024275
500.0,500,69.803985
500.0,500,73.518613
500.0,500,77.392952
500.0,500,81.235442
500.0,500,84.751053
500.0,500,88.511312
500.0,500,100.443545
500.0,500,103.922387
500.0,500,107.715723
500.0,500,111.376258
500.0,500,115.214311
500.0,500,119.075528
500.0,500,130.995808
500.0,500,134.767359
500.0,500,138.564353
500.0,500,142.018716
500.0,500,145.792553
500.0,500,149.373621
500.0,500,161.347443
500.0,500,165.169121
500.0,500,168.693167
500.0,500,172.498291
500.0,500,176.28871
500.0,500,179.969426
