#{"t_start": 1710451332.2069407, "env_id": "CartPole-v1"}
r,l,t
14.0,14,2.84097
11.0,11,2.885168
13.0,13,3.050714
29.0,29,3.274323
26.0,26,3.327522
14.0,14,3.51055
31.0,31,3.768248
25.0,25,3.973499
14.0,14,4.005621
12.0,12,4.039313
20.0,20,4.26181
31.0,31,4.518301
27.0,27,4.750669
40.0,40,5.037762
62.0,62,5.499412
61.0,61,5.98632
15.0,15,6.019825
50.0,50,6.444023
32.0,32,6.694187
112.0,112,7.431332
157.0,157,8.587678
111.0,111,9.502255
123.0,123,10.461495
140.0,140,11.445499
112.0,112,12.387799
96.0,96,13.133231
186.0,186,14.38463
122.0,122,15.428864
203.0,203,17.089351
180.0,180,18.431199
248.0,248,20.469199
136.0,136,21.415291
217.0,217,23.105906
500.0,500,34.704567
500.0,500,38.424223
500.0,500,42.313292
500.0,500,46.014428
500.0,500,49.852578
500.0,500,53.713035
500.0,500,57.545328
500.0,500,69.131201
500.0,500,72.947708
500.0,500,76.653972
500.0,500,80.540197
500.0,500,84.10467
500.0,500,87.815351
500.0,500,99.699779
500.0,500,103.234577
500.0,500,106.993349
500.0,500,110.806253
500.0,500,114.497431
500.0,500,118.318028
500.0,500,130.311039
500.0,500,134.089526
500.0,500,137.852577
500.0,500,141.323068
500.0,500,145.099456
500.0,500,148.824742
500.0,500,160.60445
500.0,500,164.430732
500.0,500,167.976709
500.0,500,171.764791
500.0,500,175.617939
500.0,500,179.2189
500.0,500,183.023557
