#{"t_start": 1710451332.2090275, "env_id": "CartPole-v1"}
r,l,t
23.0,23,2.88061
58.0,58,3.304322
18.0,18,3.481502
19.0,19,3.537536
22.0,22,3.768503
20.0,20,3.808855
19.0,19,4.005939
13.0,13,4.058907
17.0,17,4.259827
17.0,17,4.47233
30.0,30,4.557854
29.0,29,4.786869
84.0,84,5.497463
71.0,71,6.012413
60.0,60,6.455297
98.0,98,7.163501
180.0,180,8.529609
150.0,150,9.542225
133.0,133,10.668951
201.0,201,12.17633
135.0,135,13.161989
151.0,151,14.363842
333.0,333,16.918127
125.0,125,17.911633
122.0,122,18.894198
152.0,152,20.168647
201.0,201,21.683615
411.0,411,24.699356
500.0,500,36.228412
500.0,500,40.093515
500.0,500,43.975598
500.0,500,47.71026
500.0,500,51.583646
500.0,500,55.414475
500.0,500,66.956297
500.0,500,70.845173
500.0,500,74.460899
500.0,500,78.449169
500.0,500,82.125534
500.0,500,85.702824
500.0,500,97.51449
500.0,500,101.340937
500.0,500,104.867703
500.0,500,108.684939
500.0,500,112.351442
500.0,500,116.152515
500.0,500,120.017437
500.0,500,131.953221
500.0,500,135.759887
500.0,500,139.453712
500.0,500,142.946842
500.0,500,146.735894
500.0,500,150.30874
500.0,500,162.23982
500.0,500,166.080488
500.0,500,169.643779
500.0,500,173.500936
500.0,500,177.276849
500.0,500,180.938166
