#{"t_start": 1710451332.2061346, "env_id": "CartPole-v1"}
r,l,t
18.0,18,2.854992
24.0,24,3.073503
28.0,28,3.278594
34.0,34,3.497262
15.0,15,3.541618
21.0,21,3.771258
16.0,16,3.807176
22.0,22,4.00756
18.0,18,4.231298
11.0,11,4.260358
26.0,26,4.501082
21.0,21,4.558439
112.0,112,5.4793
48.0,48,5.782198
46.0,46,6.21048
36.0,36,6.446
93.0,93,7.13951
69.0,69,7.624106
117.0,117,8.528306
120.0,120,9.309884
27.0,27,9.519268
97.0,97,10.289589
99.0,99,10.973326
150.0,150,12.190719
139.0,139,13.194508
130.0,130,14.337371
132.0,132,15.372274
152.0,152,16.451934
167.0,167,17.860407
151.0,151,18.925872
137.0,137,20.16287
170.0,170,21.391465
147.0,147,22.609701
215.0,215,24.008932
500.0,500,35.676641
500.0,500,39.408687
500.0,500,43.276928
500.0,500,47.190152
500.0,500,50.831416
500.0,500,54.741199
500.0,500,66.452385
500.0,500,70.123917
500.0,500,73.917212
500.0,500,77.6769
500.0,500,81.475377
500.0,500,85.19132
500.0,500,88.796003
500.0,500,100.666211
500.0,500,104.350189
500.0,500,108.002925
500.0,500,111.847413
500.0,500,115.46849
500.0,500,119.335962
500.0,500,131.408513
500.0,500,135.067567
500.0,500,138.824862
500.0,500,142.439451
500.0,500,146.093803
500.0,500,149.81828
500.0,500,161.601776
500.0,500,165.416948
500.0,500,169.16336
500.0,500,172.779021
500.0,500,176.534729
500.0,500,180.405715
