#{"t_start": 1710450546.2631657, "env_id": "CartPole-v1"}
r,l,t
15.0,15,2.806277
14.0,14,2.840094
19.0,19,3.073323
17.0,17,3.252057
139.0,139,4.241781
16.0,16,4.259385
40.0,40,4.653028
29.0,29,4.888097
23.0,23,4.929794
58.0,58,5.353241
42.0,42,5.628864
40.0,40,6.01272
15.0,15,6.065147
18.0,18,6.258556
241.0,241,7.977667
442.0,442,11.282101
500.0,500,15.105504
132.0,132,16.074966
213.0,213,17.545517
216.0,216,19.234903
214.0,214,20.804998
184.0,184,22.302427
440.0,440,25.380442
500.0,500,36.692198
500.0,500,40.474603
500.0,500,44.097945
500.0,500,47.886122
500.0,500,51.52877
500.0,500,55.362928
500.0,500,66.594146
500.0,500,70.162682
500.0,500,74.034702
500.0,500,77.922757
500.0,500,81.430715
500.0,500,85.342477
500.0,500,96.496471
500.0,500,100.283211
500.0,500,103.975834
500.0,500,107.697464
500.0,500,111.639984
500.0,500,115.5776
500.0,500,126.97254
500.0,500,130.742515
500.0,500,134.354211
500.0,500,138.214441
500.0,500,142.044329
500.0,500,145.600725
500.0,500,149.642285
500.0,500,160.912325
500.0,500,164.42355
500.0,500,168.174796
500.0,500,171.871368
500.0,500,175.690394
500.0,500,179.485195
