#{"t_start": 1710450546.264527, "env_id": "CartPole-v1"}
r,l,t
40.0,40,3.045539
25.0,25,3.250834
27.0,27,3.302053
24.0,24,3.527053
26.0,26,3.754574
24.0,24,3.978128
18.0,18,4.022614
23.0,23,4.243895
11.0,11,4.255884
14.0,14,4.444554
24.0,24,4.508234
28.0,28,4.711571
90.0,90,5.356899
22.0,22,5.59346
33.0,33,5.812996
19.0,19,5.850994
28.0,28,6.073716
146.0,146,7.194412
71.0,71,7.715183
168.0,168,9.004028
195.0,195,10.437779
244.0,244,12.242048
338.0,338,14.903406
136.0,136,15.858361
273.0,273,17.792377
152.0,152,19.005027
195.0,195,20.380435
208.0,208,22.056499
212.0,212,23.530052
500.0,500,34.715678
500.0,500,38.524795
500.0,500,42.193451
500.0,500,46.076337
500.0,500,49.739636
500.0,500,53.47987
500.0,500,64.624333
500.0,500,68.251931
500.0,500,72.139939
500.0,500,75.961516
500.0,500,79.569474
500.0,500,83.358433
500.0,500,87.241802
500.0,500,98.357158
500.0,500,102.154204
500.0,500,105.749487
500.0,500,109.647372
500.0,500,113.674741
500.0,500,117.343695
500.0,500,128.845248
500.0,500,132.55963
500.0,500,136.269368
500.0,500,140.159209
500.0,500,143.737361
500.0,500,147.681795
500.0,500,159.066886
500.0,500,162.564224
500.0,500,166.305435
500.0,500,170.149764
500.0,500,173.815511
500.0,500,177.567136
