#{"t_start": 1710450546.260303, "env_id": "CartPole-v1"}
r,l,t
19.0,19,2.814433
17.0,17,3.04534
25.0,25,3.09021
17.0,17,3.290359
39.0,39,3.536488
51.0,51,3.984577
17.0,17,4.028446
23.0,23,4.249215
30.0,30,4.455395
54.0,54,4.894395
84.0,84,5.379559
12.0,12,5.588892
22.0,22,5.629439
31.0,31,5.830045
54.0,54,6.289261
124.0,124,7.18681
115.0,115,7.98912
304.0,304,10.387584
200.0,200,11.759196
360.0,360,14.469271
173.0,173,15.859261
361.0,361,18.489125
188.0,188,19.906937
228.0,228,21.566324
373.0,373,24.410568
500.0,500,35.486468
500.0,500,39.274462
500.0,500,43.13753
500.0,500,46.770859
500.0,500,50.476205
500.0,500,54.385763
500.0,500,65.420973
500.0,500,69.172262
500.0,500,72.886631
500.0,500,76.742097
500.0,500,80.426489
500.0,500,84.05463
500.0,500,95.48644
500.0,500,99.29158
500.0,500,102.872949
500.0,500,106.676906
500.0,500,110.388603
500.0,500,114.430052
500.0,500,118.281089
500.0,500,129.59043
500.0,500,133.357562
500.0,500,137.149265
500.0,500,140.875932
500.0,500,144.646125
500.0,500,148.435367
500.0,500,159.819285
500.0,500,163.477059
500.0,500,167.057091
500.0,500,170.913221
500.0,500,174.734066
500.0,500,178.30229
