#{"t_start": 1710450546.2652981, "env_id": "CartPole-v1"}
r,l,t
26.0,26,2.834517
76.0,76,3.482198
13.0,13,3.512654
31.0,31,3.762586
24.0,24,3.984149
19.0,19,4.029279
33.0,33,4.259506
16.0,16,4.450639
25.0,25,4.654399
184.0,184,5.849072
45.0,45,6.280731
146.0,146,7.227321
42.0,42,7.664302
179.0,179,8.984232
293.0,293,11.091375
500.0,500,14.934063
139.0,139,15.89328
490.0,490,19.651792
214.0,214,21.076505
253.0,253,23.060461
500.0,500,34.181883
500.0,500,38.033142
500.0,500,41.692656
500.0,500,45.612805
500.0,500,49.114772
500.0,500,52.961568
500.0,500,56.735187
500.0,500,67.789488
500.0,500,71.641859
500.0,500,75.424845
500.0,500,79.105678
500.0,500,82.8474
500.0,500,86.570853
500.0,500,97.850792
500.0,500,101.711288
500.0,500,105.232425
500.0,500,109.130057
500.0,500,113.190156
500.0,500,116.875856
500.0,500,128.378252
500.0,500,131.914149
500.0,500,135.779694
500.0,500,139.687551
500.0,500,143.238107
500.0,500,147.113421
500.0,500,158.591407
500.0,500,162.080857
500.0,500,165.841681
500.0,500,169.489231
500.0,500,173.30471
500.0,500,177.065038
500.0,500,180.75056
