#{"t_start": 1710450546.2611024, "env_id": "CartPole-v1"}
r,l,t
14.0,14,2.793184
28.0,28,3.06808
22.0,22,3.092719
23.0,23,3.300008
41.0,41,3.565093
35.0,35,3.96107
21.0,21,4.025753
11.0,11,4.216973
14.0,14,4.249573
30.0,30,4.472404
133.0,133,5.357503
24.0,24,5.596744
27.0,27,5.809634
23.0,23,5.852035
17.0,17,6.062277
21.0,21,6.2594
48.0,48,6.521004
199.0,199,7.985075
181.0,181,9.461063
161.0,161,10.611592
397.0,397,13.509264
323.0,323,16.068853
200.0,200,17.509174
173.0,173,18.757026
215.0,215,20.336122
187.0,187,21.774179
291.0,291,23.969458
500.0,500,34.985572
500.0,500,38.812235
500.0,500,42.657778
500.0,500,46.301924
500.0,500,50.028058
500.0,500,53.906664
500.0,500,64.890631
500.0,500,68.682968
500.0,500,72.401619
500.0,500,76.246636
500.0,500,80.00328
500.0,500,83.585534
500.0,500,87.471244
500.0,500,98.813108
500.0,500,102.41267
500.0,500,106.219162
500.0,500,109.905342
500.0,500,113.951294
500.0,500,117.788575
500.0,500,129.13578
500.0,500,132.851717
500.0,500,136.692955
500.0,500,140.439562
500.0,500,144.162126
500.0,500,147.940733
500.0,500,159.294777
500.0,500,162.996424
500.0,500,166.555904
500.0,500,170.415772
500.0,500,174.255686
500.0,500,177.825961
