#{"t_start": 1710450546.2617972, "env_id": "CartPole-v1"}
r,l,t
16.0,16,2.809353
27.0,27,3.069016
12.0,12,3.082338
23.0,23,3.289026
24.0,24,3.485569
57.0,57,3.797928
19.0,19,4.012985
17.0,17,4.216363
19.0,19,4.2542
26.0,26,4.473894
39.0,39,4.708153
31.0,31,4.92889
93.0,93,5.603623
21.0,21,5.810265
14.0,14,5.82534
38.0,38,6.076324
87.0,87,6.7542
39.0,39,7.010891
23.0,23,7.200349
139.0,139,8.241144
206.0,206,9.931451
275.0,275,11.769347
378.0,378,14.687131
159.0,159,15.869459
222.0,222,17.536644
179.0,179,18.956608
203.0,203,20.357084
232.0,232,22.114885
183.0,183,23.501553
500.0,500,34.685196
500.0,500,38.331405
500.0,500,42.164701
500.0,500,46.040355
500.0,500,49.548145
500.0,500,53.448919
500.0,500,64.414574
500.0,500,68.223902
500.0,500,72.111087
500.0,500,75.753113
500.0,500,79.533073
500.0,500,83.307162
500.0,500,87.03641
500.0,500,98.310906
500.0,500,101.972125
500.0,500,105.717474
500.0,500,109.618426
500.0,500,113.468533
500.0,500,117.331919
500.0,500,128.818763
500.0,500,132.370571
500.0,500,136.239254
500.0,500,139.959658
500.0,500,143.708076
500.0,500,147.645983
500.0,500,158.870618
500.0,500,162.543162
500.0,500,166.281063
500.0,500,169.944583
500.0,500,173.782528
500.0,500,177.351299
