#{"t_start": 1710450546.262479, "env_id": "CartPole-v1"}
r,l,t
101.0,101,3.48371
31.0,31,3.730643
20.0,20,3.789452
25.0,25,4.011101
16.0,16,4.213125
33.0,33,4.439711
34.0,34,4.653608
103.0,103,5.345767
46.0,46,5.626085
13.0,13,5.806561
14.0,14,5.822431
39.0,39,6.074496
61.0,61,6.540915
123.0,123,7.461838
137.0,137,8.483414
251.0,251,10.412433
240.0,240,12.213503
500.0,500,15.891178
243.0,243,17.742114
154.0,154,18.957251
227.0,227,20.559452
229.0,229,22.339128
500.0,500,33.431063
500.0,500,37.156336
500.0,500,40.992865
500.0,500,44.622532
500.0,500,48.373911
500.0,500,52.222033
500.0,500,55.825574
500.0,500,67.066608
500.0,500,70.881911
500.0,500,74.547961
500.0,500,78.411804
500.0,500,81.956788
500.0,500,85.820362
500.0,500,97.11861
500.0,500,100.765188
500.0,500,104.447387
500.0,500,108.400445
500.0,500,112.144173
500.0,500,116.130451
500.0,500,127.472396
500.0,500,131.222483
500.0,500,135.050515
500.0,500,138.762443
500.0,500,142.532785
500.0,500,146.352394
500.0,500,157.66786
500.0,500,161.390358
500.0,500,164.906662
500.0,500,168.71677
500.0,500,172.550224
500.0,500,176.169494
500.0,500,179.972072
