#{"t_start": 1710450742.5122187, "env_id": "CartPole-v1"}
r,l,t
31.0,31,2.889262
39.0,39,3.337065
30.0,30,3.608942
23.0,23,3.667183
141.0,141,4.860464
42.0,42,5.120883
17.0,17,5.339065
22.0,22,5.382448
176.0,176,6.807815
101.0,101,7.520222
219.0,219,9.254063
500.0,500,12.757648
250.0,250,14.640422
137.0,137,15.604172
129.0,129,16.705727
117.0,117,17.504312
103.0,103,18.268364
119.0,119,19.213803
52.0,52,19.693886
111.0,111,20.384941
128.0,128,21.279098
210.0,210,22.881817
220.0,220,24.494
144.0,144,25.416683
500.0,500,37.136443
500.0,500,40.680067
500.0,500,44.388059
500.0,500,48.043615
500.0,500,51.629261
500.0,500,55.52793
500.0,500,66.863128
500.0,500,70.450942
500.0,500,74.211808
500.0,500,77.824396
500.0,500,81.506072
500.0,500,85.214616
500.0,500,96.347395
500.0,500,100.086845
500.0,500,103.764993
500.0,500,107.373904
500.0,500,111.197735
500.0,500,114.969459
500.0,500,126.679655
500.0,500,130.497686
500.0,500,134.145861
500.0,500,137.880854
500.0,500,141.702669
500.0,500,145.297794
500.0,500,149.11144
500.0,500,160.2773
500.0,500,164.188296
500.0,500,167.954274
500.0,500,171.743302
500.0,500,175.529229
500.0,500,179.281972
