#{"t_start": 1710450742.5064094, "env_id": "CartPole-v1"}
r,l,t
23.0,23,2.866595
18.0,18,3.116473
13.0,13,3.147848
64.0,64,3.65726
65.0,65,4.187547
61.0,61,4.655661
120.0,120,5.608092
85.0,85,6.305949
116.0,116,7.090719
133.0,133,8.053203
500.0,500,11.77421
262.0,262,13.710431
188.0,188,15.125674
124.0,124,16.055144
119.0,119,16.966315
67.0,67,17.47578
95.0,95,18.215222
104.0,104,18.943752
116.0,116,19.932713
117.0,117,20.629544
136.0,136,21.531673
203.0,203,23.11296
202.0,202,24.531278
388.0,388,35.200217
500.0,500,38.967373
500.0,500,42.554692
500.0,500,46.274371
500.0,500,50.002222
500.0,500,53.591527
500.0,500,65.001797
500.0,500,68.708614
500.0,500,72.317871
500.0,500,76.164473
500.0,500,79.701874
500.0,500,83.388124
500.0,500,87.028602
500.0,500,98.274332
500.0,500,101.962738
500.0,500,105.630357
500.0,500,109.28827
500.0,500,113.215
500.0,500,116.842481
500.0,500,128.669913
500.0,500,132.409492
500.0,500,136.030358
500.0,500,139.831752
500.0,500,143.605115
500.0,500,147.24455
500.0,500,158.574749
500.0,500,162.251459
500.0,500,166.046592
500.0,500,169.968751
500.0,500,173.621997
500.0,500,177.511326
