#{"t_start": 1710450742.5108223, "env_id": "CartPole-v1"}
r,l,t
13.0,13,2.826879
15.0,15,2.886647
40.0,40,3.335011
25.0,25,3.421516
16.0,16,3.626193
27.0,27,3.851277
42.0,42,4.160513
75.0,75,4.677873
37.0,37,5.087715
121.0,121,5.892088
153.0,153,7.085143
155.0,155,8.248557
345.0,345,10.83997
371.0,371,13.454923
213.0,213,15.121505
153.0,153,16.25081
114.0,114,17.014731
101.0,101,17.777206
135.0,135,18.932984
105.0,105,19.704493
106.0,106,20.389936
123.0,123,21.278213
148.0,148,22.436031
192.0,192,23.810726
153.0,153,24.92221
500.0,500,36.443695
500.0,500,40.163629
500.0,500,43.74823
500.0,500,47.386804
500.0,500,51.086144
500.0,500,54.810332
500.0,500,66.169879
500.0,500,69.900291
500.0,500,73.504393
500.0,500,77.296394
500.0,500,80.832777
500.0,500,84.589825
500.0,500,95.847875
500.0,500,99.409884
500.0,500,103.06899
500.0,500,106.811777
500.0,500,110.481731
500.0,500,114.431092
500.0,500,118.001095
500.0,500,129.848336
500.0,500,133.637406
500.0,500,137.235055
500.0,500,140.991832
500.0,500,144.75079
500.0,500,148.397498
500.0,500,159.743061
500.0,500,163.443676
500.0,500,167.276866
500.0,500,171.202926
500.0,500,174.857553
500.0,500,178.65818
