#{"t_start": 1710450742.5087497, "env_id": "CartPole-v1"}
r,l,t
15.0,15,2.832344
21.0,21,3.108638
35.0,35,3.341979
21.0,21,3.421967
22.0,22,3.650551
65.0,65,4.1637
49.0,49,4.597286
55.0,55,4.9173
38.0,38,5.323063
19.0,19,5.364441
110.0,110,6.305267
140.0,140,7.311568
17.0,17,7.33064
190.0,190,8.82504
500.0,500,12.501142
267.0,267,14.445912
149.0,149,15.555529
129.0,129,16.51073
91.0,91,17.25018
36.0,36,17.502096
112.0,112,18.438898
119.0,119,19.221552
103.0,103,19.995965
117.0,117,20.845983
130.0,130,21.73525
297.0,297,23.852515
212.0,212,25.417838
500.0,500,37.136835
500.0,500,40.680823
500.0,500,44.388874
500.0,500,48.044206
500.0,500,51.630129
500.0,500,55.528798
500.0,500,66.715975
500.0,500,70.451835
500.0,500,74.212545
500.0,500,77.825262
500.0,500,81.490663
500.0,500,85.215458
500.0,500,96.348251
500.0,500,100.087703
500.0,500,103.614121
500.0,500,107.357235
500.0,500,111.190713
500.0,500,114.970392
500.0,500,126.672011
500.0,500,130.498506
500.0,500,134.146394
500.0,500,137.881725
500.0,500,141.519929
500.0,500,145.298568
500.0,500,149.112338
500.0,500,160.274479
500.0,500,164.189155
500.0,500,167.953001
500.0,500,171.726991
500.0,500,175.52965
500.0,500,179.139687
