#{"t_start": 1710450742.5094666, "env_id": "CartPole-v1"}
r,l,t
49.0,49,3.139473
21.0,21,3.339649
28.0,28,3.599211
16.0,16,3.649928
31.0,31,3.879022
31.0,31,4.159609
38.0,38,4.39837
92.0,92,5.123505
19.0,19,5.347479
65.0,65,5.831889
34.0,34,6.088233
137.0,137,7.06671
13.0,13,7.114969
28.0,28,7.324658
179.0,179,8.791816
500.0,500,12.467655
279.0,279,14.440445
136.0,136,15.379028
134.0,134,16.479717
116.0,116,17.280805
95.0,95,18.012808
119.0,119,18.94395
119.0,119,19.952551
102.0,102,20.599843
126.0,126,21.491917
186.0,186,22.880241
143.0,143,23.823774
168.0,168,24.969003
170.0,170,34.128339
500.0,500,37.890908
500.0,500,41.549599
500.0,500,45.350071
500.0,500,48.865898
500.0,500,52.563431
500.0,500,56.243559
500.0,500,67.58741
500.0,500,71.393853
500.0,500,74.960539
500.0,500,78.689225
500.0,500,82.407968
500.0,500,85.955277
500.0,500,97.325037
500.0,500,100.86194
500.0,500,104.543001
500.0,500,108.2822
500.0,500,112.034981
500.0,500,115.862672
500.0,500,127.611115
500.0,500,131.253483
500.0,500,135.105219
500.0,500,138.661673
500.0,500,142.495205
500.0,500,146.178236
500.0,500,157.472831
500.0,500,161.245365
500.0,500,165.063039
500.0,500,168.735821
500.0,500,172.637364
500.0,500,176.338798
500.0,500,180.024199
