#{"t_start": 1710450742.5077233, "env_id": "CartPole-v1"}
r,l,t
24.0,24,2.866979
18.0,18,3.116351
14.0,14,3.156903
18.0,18,3.363526
25.0,25,3.60212
69.0,69,4.135948
25.0,25,4.360611
30.0,30,4.425716
89.0,89,5.149931
37.0,37,5.391212
51.0,51,5.861558
173.0,173,7.113193
191.0,191,8.562538
500.0,500,12.27564
285.0,285,14.41191
138.0,138,15.354637
150.0,150,16.48893
122.0,122,17.475688
54.0,54,17.776848
112.0,112,18.73434
124.0,124,19.699973
113.0,113,20.3929
141.0,141,21.489174
181.0,181,22.720307
213.0,213,24.272029
188.0,188,25.635746
500.0,500,37.365579
500.0,500,40.90921
500.0,500,44.617176
500.0,500,48.1091
500.0,500,51.868588
500.0,500,55.734093
500.0,500,66.918058
500.0,500,70.699382
500.0,500,74.435513
500.0,500,78.028409
500.0,500,81.734221
500.0,500,85.304548
500.0,500,96.573058
500.0,500,100.317888
500.0,500,103.843688
500.0,500,107.609568
500.0,500,111.457472
500.0,500,115.173245
500.0,500,126.90926
500.0,500,130.562129
500.0,500,134.397161
500.0,500,138.105547
500.0,500,141.769953
500.0,500,145.511353
500.0,500,149.319551
500.0,500,160.518019
500.0,500,164.385733
500.0,500,168.017738
500.0,500,171.946027
500.0,500,175.767176
500.0,500,179.349699
