#{"t_start": 1710450742.5115056, "env_id": "CartPole-v1"}
r,l,t
16.0,16,2.831441
53.0,53,3.336128
62.0,62,3.844806
30.0,30,4.104919
45.0,45,4.387774
34.0,34,4.646388
77.0,77,5.151933
123.0,123,6.119018
124.0,124,7.084553
95.0,95,7.793506
275.0,275,9.912975
472.0,472,13.220261
220.0,220,14.899228
124.0,124,15.807459
140.0,140,16.951599
103.0,103,17.715006
114.0,114,18.523755
121.0,121,19.479549
103.0,103,20.185562
118.0,118,21.069579
133.0,133,21.972749
184.0,184,23.350209
264.0,264,25.181847
500.0,500,36.882379
500.0,500,40.446692
500.0,500,44.16208
500.0,500,47.824506
500.0,500,51.411538
500.0,500,55.242826
500.0,500,66.668205
500.0,500,70.209447
500.0,500,73.987155
500.0,500,77.571311
500.0,500,81.26626
500.0,500,85.008879
500.0,500,96.111112
500.0,500,99.833583
500.0,500,103.545045
500.0,500,107.100026
500.0,500,110.950584
500.0,500,114.72359
500.0,500,126.423853
500.0,500,130.269352
500.0,500,133.901544
500.0,500,137.656085
500.0,500,141.451527
500.0,500,145.047509
500.0,500,148.854956
500.0,500,160.048886
500.0,500,163.931907
500.0,500,167.725517
500.0,500,171.474061
500.0,500,175.302048
500.0,500,179.070785
