#{"t_start": 1710451136.5253048, "env_id": "CartPole-v1"}
r,l,t
18.0,18,2.987005
12.0,12,3.019561
28.0,28,3.251291
18.0,18,3.460354
13.0,13,3.493361
42.0,42,3.948117
27.0,27,4.033048
27.0,27,4.242322
22.0,22,4.464214
11.0,11,4.493359
11.0,11,4.66444
15.0,15,4.715443
13.0,13,4.889703
13.0,13,4.925052
13.0,13,4.959203
38.0,38,5.432596
21.0,21,5.477104
9.0,9,5.486825
54.0,54,5.949482
76.0,76,6.564946
103.0,103,7.323523
129.0,129,8.273263
58.0,58,8.717113
32.0,32,8.973861
99.0,99,9.69599
183.0,183,10.92895
139.0,139,12.096021
215.0,215,13.584299
267.0,267,15.777219
153.0,153,17.003278
144.0,144,18.025364
126.0,126,18.927482
207.0,207,20.476545
327.0,327,23.115899
500.0,500,34.426068
500.0,500,38.145017
500.0,500,41.908443
500.0,500,45.455309
500.0,500,49.149705
500.0,500,52.842534
500.0,500,56.680142
500.0,500,67.985541
500.0,500,71.545794
500.0,500,75.324735
500.0,500,79.191785
500.0,500,82.761245
500.0,500,86.584328
500.0,500,97.971966
500.0,500,101.77082
12.0,12,101.801207
500.0,500,105.583823
500.0,500,109.387115
500.0,500,112.889042
500.0,500,116.615015
500.0,500,127.896008
500.0,500,131.482535
500.0,500,135.310513
500.0,500,138.891692
500.0,500,142.699649
500.0,500,146.358513
500.0,500,157.4805
500.0,500,161.118432
500.0,500,164.934624
500.0,500,168.551141
500.0,500,172.328487
500.0,500,175.922932
500.0,500,179.667761
