#{"t_start": 1710451136.5225558, "env_id": "CartPole-v1"}
r,l,t
40.0,40,3.215768
14.0,14,3.249687
19.0,19,3.459813
17.0,17,3.49726
25.0,25,3.748965
19.0,19,3.971588
26.0,26,4.038029
16.0,16,4.217177
13.0,13,4.261837
10.0,10,4.441066
20.0,20,4.497446
19.0,19,4.694301
26.0,26,4.904039
13.0,13,4.955168
69.0,69,5.484104
236.0,236,7.323126
124.0,124,8.268186
116.0,116,9.031473
148.0,148,10.198608
166.0,166,11.3686
180.0,180,12.789943
188.0,188,14.079172
202.0,202,15.779816
160.0,160,17.013611
124.0,124,17.997499
130.0,130,18.920371
288.0,288,21.103715
229.0,229,22.869357
296.0,296,25.060796
500.0,500,36.516882
500.0,500,40.077511
500.0,500,43.792601
500.0,500,47.554465
500.0,500,51.182258
500.0,500,54.985263
500.0,500,66.299364
500.0,500,69.857364
500.0,500,73.664125
500.0,500,77.301339
500.0,500,81.07845
500.0,500,84.910463
500.0,500,96.37974
500.0,500,100.087924
500.0,500,103.898524
500.0,500,107.503131
500.0,500,111.194946
500.0,500,114.795097
500.0,500,118.491797
500.0,500,129.769705
500.0,500,133.414509
500.0,500,137.161994
500.0,500,141.031558
500.0,500,144.521323
500.0,500,148.272729
500.0,500,159.324298
500.0,500,163.038563
500.0,500,166.843387
500.0,500,170.392654
500.0,500,174.291007
500.0,500,177.957428
