#{"t_start": 1710451136.5239463, "env_id": "CartPole-v1"}
r,l,t
50.0,50,3.24373
34.0,34,3.478392
17.0,17,3.69245
25.0,25,3.776978
10.0,10,3.973055
13.0,13,4.00704
14.0,14,4.181753
20.0,20,4.241098
30.0,30,4.472418
15.0,15,4.664521
16.0,16,4.716662
13.0,13,4.890888
15.0,15,4.928675
20.0,20,5.178867
19.0,19,5.233768
16.0,16,5.46221
57.0,57,5.752893
96.0,96,6.39628
39.0,39,6.832751
88.0,88,7.366286
139.0,139,8.523652
43.0,43,8.780443
107.0,107,9.542593
275.0,275,11.58728
165.0,165,12.827711
164.0,164,14.056583
285.0,285,16.324919
129.0,129,17.323819
152.0,152,18.488027
226.0,226,20.20891
344.0,344,22.866488
307.0,307,25.088158
500.0,500,36.543767
500.0,500,40.260353
500.0,500,43.818641
500.0,500,47.581555
500.0,500,51.367626
500.0,500,55.015216
500.0,500,66.327529
500.0,500,69.889737
500.0,500,73.690619
500.0,500,77.470387
500.0,500,81.104682
500.0,500,84.939561
500.0,500,96.523334
500.0,500,100.097409
500.0,500,103.927015
500.0,500,107.529114
500.0,500,111.221878
12.0,12,111.251427
500.0,500,114.974623
500.0,500,118.69458
500.0,500,129.807107
500.0,500,133.616479
500.0,500,137.380558
500.0,500,141.070844
500.0,500,144.740535
500.0,500,148.315208
500.0,500,159.527073
500.0,500,163.270088
500.0,500,166.905652
500.0,500,170.606609
500.0,500,174.50527
500.0,500,178.012306
