#{"t_start": 1710451136.5217173, "env_id": "CartPole-v1"}
r,l,t
12.0,12,2.964962
15.0,15,3.01811
16.0,16,3.220022
25.0,25,3.45507
24.0,24,3.500276
23.0,23,3.749675
21.0,21,3.975157
13.0,13,4.009114
19.0,19,4.189455
14.0,14,4.241977
15.0,15,4.439656
17.0,17,4.475743
15.0,15,4.667889
18.0,18,4.722528
16.0,16,4.903464
20.0,20,4.962631
16.0,16,5.205671
16.0,16,5.243064
35.0,35,5.489201
115.0,115,6.364897
78.0,78,6.896473
43.0,43,7.329292
133.0,133,8.299994
139.0,139,9.286892
176.0,176,10.643618
270.0,270,12.597677
283.0,283,14.718734
182.0,182,16.286971
134.0,134,17.297953
132.0,132,18.270347
500.0,500,22.132492
286.0,286,24.283874
500.0,500,35.579726
500.0,500,39.29939
500.0,500,43.085106
500.0,500,46.657793
500.0,500,50.387889
500.0,500,54.015439
500.0,500,65.418631
500.0,500,69.125731
500.0,500,72.775362
500.0,500,76.543171
500.0,500,80.351951
500.0,500,83.949378
500.0,500,87.75906
500.0,500,99.197694
15.0,15,99.385952
500.0,500,103.004514
500.0,500,106.840633
500.0,500,110.543667
500.0,500,114.095865
500.0,500,117.798445
500.0,500,129.060625
500.0,500,132.712568
500.0,500,136.476979
500.0,500,140.124889
500.0,500,143.7998
500.0,500,147.556695
500.0,500,158.616138
500.0,500,162.311645
500.0,500,166.122298
500.0,500,169.716214
500.0,500,173.548406
500.0,500,177.096993
