#{"t_start": 1710451136.526665, "env_id": "CartPole-v1"}
r,l,t
17.0,17,2.983971
21.0,21,3.201138
20.0,20,3.250023
24.0,24,3.465396
18.0,18,3.688519
14.0,14,3.731802
27.0,27,3.976199
10.0,10,4.006653
18.0,18,4.185983
15.0,15,4.239748
12.0,12,4.433478
13.0,13,4.465224
12.0,12,4.495681
9.0,9,4.664372
10.0,10,4.69252
19.0,19,4.892072
30.0,30,5.172133
15.0,15,5.206513
23.0,23,5.459631
150.0,150,6.38021
141.0,141,7.578793
159.0,159,8.744093
86.0,86,9.291986
98.0,98,10.180584
116.0,116,10.898817
153.0,153,12.118503
149.0,149,13.238396
228.0,228,14.989463
199.0,199,16.556003
148.0,148,17.736563
133.0,133,18.693096
111.0,111,19.429075
364.0,364,22.370233
176.0,176,23.59936
500.0,500,35.059499
500.0,500,38.59679
500.0,500,42.390794
500.0,500,46.142861
500.0,500,49.648624
500.0,500,53.472865
500.0,500,57.186821
500.0,500,68.476038
500.0,500,72.211144
500.0,500,75.88581
500.0,500,79.664812
500.0,500,83.398029
500.0,500,87.098705
500.0,500,98.64422
500.0,500,102.287063
500.0,500,106.073934
13.0,13,106.105379
500.0,500,109.865512
500.0,500,113.577742
500.0,500,117.114848
500.0,500,128.385929
500.0,500,132.185076
500.0,500,135.802548
500.0,500,139.607524
500.0,500,143.163009
500.0,500,146.889038
500.0,500,158.134772
500.0,500,161.613969
500.0,500,165.431366
500.0,500,169.241503
500.0,500,172.821482
500.0,500,176.580332
500.0,500,187.842597
