#{"t_start": 1710451136.523265, "env_id": "CartPole-v1"}
r,l,t
20.0,20,2.991863
31.0,31,3.245692
32.0,32,3.469943
129.0,129,4.471893
10.0,10,4.500174
15.0,15,4.692402
23.0,23,4.897079
26.0,26,4.98214
46.0,46,5.46831
37.0,37,5.701771
32.0,32,5.930331
67.0,67,6.366663
24.0,24,6.599635
33.0,33,6.83982
151.0,151,8.047607
76.0,76,8.53111
19.0,19,8.71901
162.0,162,9.922433
314.0,314,12.157502
207.0,207,13.805234
323.0,323,16.317109
160.0,160,17.557559
129.0,129,18.488609
176.0,176,19.885196
375.0,375,22.641056
203.0,203,24.280885
500.0,500,35.576735
500.0,500,39.296371
500.0,500,42.917472
500.0,500,46.654777
500.0,500,50.384874
500.0,500,53.995921
500.0,500,65.415614
500.0,500,69.122196
500.0,500,72.765855
500.0,500,76.531508
500.0,500,80.188902
500.0,500,83.946353
500.0,500,87.756053
500.0,500,99.194371
500.0,500,102.968091
500.0,500,106.821321
500.0,500,110.345995
500.0,500,114.060296
500.0,500,117.59171
500.0,500,128.865156
500.0,500,132.659947
500.0,500,136.27967
500.0,500,140.088596
500.0,500,143.779156
500.0,500,147.342722
500.0,500,158.596969
500.0,500,162.113628
500.0,500,165.929198
500.0,500,169.691326
500.0,500,173.369032
500.0,500,177.060458
