#{"t_start": 1710450152.9032836, "env_id": "CartPole-v1"}
r,l,t
26.0,26,2.806559
21.0,21,3.035071
11.0,11,3.051803
31.0,31,3.284427
24.0,24,3.539963
34.0,34,3.803459
12.0,12,3.817055
20.0,20,4.039397
46.0,46,4.456233
52.0,52,4.749228
54.0,54,5.190929
49.0,49,5.470608
39.0,39,5.880884
59.0,59,6.195518
80.0,80,6.868279
103.0,103,7.610372
138.0,138,8.658731
168.0,168,10.098696
88.0,88,10.639886
165.0,165,12.031873
386.0,386,14.968338
201.0,201,16.583633
117.0,117,17.656727
170.0,170,18.833653
182.0,182,20.236928
232.0,232,21.984495
500.0,500,25.772283
500.0,500,37.565108
500.0,500,41.468466
500.0,500,45.026537
500.0,500,48.967362
500.0,500,52.978212
500.0,500,56.593986
500.0,500,67.872609
500.0,500,71.653809
500.0,500,75.510289
500.0,500,79.47906
500.0,500,83.224773
500.0,500,87.138138
500.0,500,98.785444
500.0,500,102.451146
500.0,500,106.257883
500.0,500,110.008906
500.0,500,113.860533
500.0,500,117.744324
500.0,500,129.406645
500.0,500,133.299093
500.0,500,137.294959
500.0,500,140.980274
500.0,500,145.013784
500.0,500,148.733449
500.0,500,152.652487
500.0,500,164.351067
500.0,500,167.980643
500.0,500,171.923955
500.0,500,175.646206
500.0,500,179.320098
500.0,500,183.157948
