#{"t_start": 1710450152.9046223, "env_id": "CartPole-v1"}
r,l,t
30.0,30,2.810052
41.0,41,3.262499
16.0,16,3.28043
25.0,25,3.535469
42.0,42,3.810076
17.0,17,4.012136
23.0,23,4.231575
17.0,17,4.269013
36.0,36,4.513151
74.0,74,5.161158
48.0,48,5.439975
63.0,63,5.910703
76.0,76,6.425685
102.0,102,7.320138
65.0,65,7.810694
52.0,52,8.159985
153.0,153,9.403135
170.0,170,10.633046
199.0,199,12.252425
194.0,194,13.701795
170.0,170,14.991651
130.0,130,16.022117
121.0,121,17.105653
127.0,127,18.139759
288.0,288,20.239178
410.0,410,23.432659
500.0,500,35.070111
500.0,500,39.033831
500.0,500,42.631315
500.0,500,46.419711
500.0,500,50.473021
500.0,500,54.198454
500.0,500,57.994514
500.0,500,69.359897
500.0,500,73.081905
500.0,500,77.035939
500.0,500,80.772222
500.0,500,84.61386
500.0,500,88.539242
500.0,500,100.022094
500.0,500,103.906827
500.0,500,107.742405
500.0,500,111.441616
500.0,500,115.233983
500.0,500,118.991239
500.0,500,130.820481
500.0,500,134.723993
500.0,500,138.552037
500.0,500,142.398431
500.0,500,146.403925
500.0,500,150.140184
500.0,500,161.91135
500.0,500,165.557362
500.0,500,169.423519
500.0,500,173.305396
500.0,500,176.944877
500.0,500,180.724212
500.0,500,184.564055
