#{"t_start": 1710450152.9039524, "env_id": "CartPole-v1"}
r,l,t
18.0,18,2.780367
21.0,21,3.008491
26.0,26,3.245093
18.0,18,3.276579
18.0,18,3.505978
56.0,56,3.81409
45.0,45,4.249333
39.0,39,4.507153
86.0,86,5.185822
37.0,37,5.417608
23.0,23,5.667684
44.0,44,5.910147
115.0,115,6.836403
97.0,97,7.579815
191.0,191,9.126315
187.0,187,10.425182
127.0,127,11.333388
230.0,230,13.199739
342.0,342,15.767422
127.0,127,16.889709
156.0,156,18.177708
113.0,113,19.029257
142.0,142,20.003885
307.0,307,22.453018
500.0,500,26.240899
500.0,500,38.045286
500.0,500,41.888631
500.0,500,45.515288
500.0,500,49.424671
500.0,500,53.267983
500.0,500,57.056436
500.0,500,68.370187
500.0,500,72.132596
500.0,500,76.054345
500.0,500,79.952267
500.0,500,83.707804
500.0,500,87.593964
500.0,500,99.088933
500.0,500,102.938298
500.0,500,106.784719
500.0,500,110.445842
500.0,500,114.347344
500.0,500,118.237157
500.0,500,129.885861
500.0,500,133.750662
500.0,500,137.588851
500.0,500,141.457812
500.0,500,145.472813
500.0,500,149.217234
500.0,500,153.114677
500.0,500,164.804908
500.0,500,168.421489
500.0,500,172.372214
500.0,500,175.979097
500.0,500,179.79041
500.0,500,183.676061
