#{"t_start": 1710450152.9018989, "env_id": "CartPole-v1"}
r,l,t
17.0,17,2.781119
21.0,21,3.009351
28.0,28,3.258298
38.0,38,3.511725
21.0,21,3.554574
27.0,27,3.810536
17.0,17,4.012528
28.0,28,4.23769
44.0,44,4.509082
71.0,71,5.000946
41.0,41,5.389972
36.0,36,5.672598
99.0,99,6.37662
72.0,72,6.872
135.0,135,7.878102
143.0,143,9.13996
152.0,152,10.166183
141.0,141,11.298852
182.0,182,12.702461
233.0,233,14.43715
123.0,123,15.469778
79.0,79,16.047359
119.0,119,17.11207
246.0,246,19.027646
354.0,354,21.700812
500.0,500,25.509324
500.0,500,37.304803
500.0,500,41.046186
500.0,500,44.767278
500.0,500,48.703135
500.0,500,52.535635
500.0,500,56.375036
500.0,500,67.587107
500.0,500,71.386795
500.0,500,75.221133
500.0,500,79.068012
500.0,500,82.949266
500.0,500,86.834219
500.0,500,98.36368
500.0,500,102.19294
500.0,500,106.020784
500.0,500,109.759621
500.0,500,113.626953
500.0,500,117.279166
500.0,500,121.186777
500.0,500,133.028399
500.0,500,136.859341
500.0,500,140.693222
500.0,500,144.729018
500.0,500,148.426639
500.0,500,152.383247
500.0,500,163.898386
500.0,500,167.720314
500.0,500,171.620796
500.0,500,175.205179
500.0,500,179.094161
500.0,500,182.880617
